Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Kiet A. Nguyen,Air Force Research Laboratory,,Verified email at afresearchlab.com,,29483,5486,45,17,73,31,deep learningquantum chemistrytwo-photon absorption,https://scholar.google.com/citations?hl=en&user=vH-BXOsAAAAJ
Harold Nguyen,Apple,https://scholar.google.com/citations?view_op=view_org&hl=en&org=11540454294127154050,Verified email at apple.com,,27986,2925,92,28,199,70,deep learningreinforcement learning,https://scholar.google.com/citations?hl=en&user=20lb9OAAAAAJ
Russell Nguyen,"Ph.D, Soongil University",,Verified email at ssu.ac.kr - Homepage,https://sites.google.com/site/vspnta/,48752,30036,92,69,813,643,Image denoisingImage enhancement,https://scholar.google.com/citations?hl=en&user=x5foNkQAAAAJ
Truong Nguyen,UCSD,https://scholar.google.com/citations?view_op=view_org&hl=en&org=7549334305653538480,Verified email at eng.ucsd.edu - Homepage,http://videoprocessing.ucsd.edu/,33913,9784,74,40,394,160,Video ProcessingImage ProcessingWaveletsFilter Banks,https://scholar.google.com/citations?hl=en&user=5rjfy4AAAAAJ
Le Lu,"Alibaba DAMO Academy, IEEE Fellow, MICCAI Board Member (2021-2024)",,Verified email at alibaba-inc.com - Homepage,http://lelu007.github.io/,28581,24906,64,55,161,141,Computer VisionMedical Image AnalysisMedical Image ComputingBiomedical Image Analysis,https://scholar.google.com/citations?hl=en&user=kZn0f6gAAAAJ
Long Bao Le,"INRS, University of Quebec",https://scholar.google.com/citations?view_op=view_org&hl=en&org=15886531677170443712,Verified email at emt.inrs.ca - Homepage,https://longbaole.github.io/,14105,7542,58,40,174,118,Wireless communicationswireless networkingcloud/edge computingsmart grids,https://scholar.google.com/citations?hl=en&user=-STl68rkz_kC
Hung Q. Ngo,RelationalAI,,Verified email at relational.ai - Homepage,http://hung-q-ngo.github.io/,4880,2473,36,26,77,45,Query OptimizationDeclarative computations,https://scholar.google.com/citations?hl=en&user=srP2ANoAAAAJ
Quan Vuong,Physical Intelligence,,Verified email at ucsd.edu - Homepage,https://quanvuong.github.io/,3541,3539,19,19,27,27,Reinforcement LearningComputer Vision,https://scholar.google.com/citations?hl=en&user=NSWI3OwAAAAJ
Trac D. Tran,"Prosessor of Electrical and Computer Engineering, Johns Hopkins University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=12129954330541958834,Verified email at jhu.edu - Homepage,http://thanglong.ece.jhu.edu/,13880,5491,55,36,201,105,Electrical and Computer EngineeringMathComputer Science,https://scholar.google.com/citations?hl=en&user=RyRjA0cAAAAJ
Brandon Tran,"Ph.D, MIT",https://scholar.google.com/citations?view_op=view_org&hl=en&org=16345133980181568013,Verified email at mit.edu,,4415,4353,14,13,14,14,Computer Science,https://scholar.google.com/citations?hl=en&user=aUeGl58AAAAJ
Tran Cao Son,"Professor of Computer Science, New Mexico State University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11761345890736700625,Verified email at nmsu.edu - Homepage,http://www.cs.nmsu.edu/~tson,8510,1604,35,19,123,46,Artificial IntelligenceLogic ProgrammingIntelligent AgentPlanning,https://scholar.google.com/citations?hl=en&user=7jKj_NcAAAAJ
Truyen Tran,"Professor | Head of AI, Health and Science @ Deakin University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10412436667236230217,Verified email at deakin.edu.au - Homepage,http://truyentran.github.io/,8369,6992,42,37,102,82,artificial intelligenceAI for healthAI for science,https://scholar.google.com/citations?hl=en&user=zvspVLwAAAAJ
Minh-Thang Luong,Senior Staff Research Scientist at Google,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,http://www.thangluong.com/,36572,31638,48,43,55,53,Deep LearningNatural Language Processing,https://scholar.google.com/citations?hl=en&user=Bmbkv6sAAAAJ
QT Luong,independent researcher,,Verified email at terragalleria.com - Homepage,http://www.terragalleria.com/,10969,1160,33,13,46,15,,https://scholar.google.com/citations?hl=en&user=EdjwXCkAAAAJ
Minh Q. Phan,Dartmouth College,https://scholar.google.com/citations?view_op=view_org&hl=en&org=18229439179148490080,Verified email at dartmouth.edu,,4751,937,34,14,90,21,system identificationiterative learning controlmodel predictive control,https://scholar.google.com/citations?hl=en&user=iDeeQJsAAAAJ
Le Trieu Phong,"NICT, Japan",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6714448588867201825,Verified email at nict.go.jp,,2581,2301,15,12,23,14,CryptographyPrivacy-Preseving Techniques,https://scholar.google.com/citations?hl=en&user=n31F97QAAAAJ
