Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Thanh Thi Nguyen,"Associate Professor, Monash University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3918598370877205258,Verified email at monash.edu - Homepage,https://sites.google.com/view/thanh-thi-nguyen,6051,5370,37,32,65,60,Artificial IntelligenceData ScienceDigital ForensicsReinforcement LearningCybersecurity,https://scholar.google.com/citations?hl=en&user=xr39SOwAAAAJ
Vinh Nguyen,Deep Learning @NVIDIA,https://scholar.google.com/citations?view_op=view_org&hl=en&org=15729607608264555120,Verified email at nvidia.com - Homepage,http://vinhnguyenx.net/,5497,3627,26,21,38,28,Deep learningMachine learningData science,https://scholar.google.com/citations?hl=en&user=XfBr0_wAAAAJ
Tung Thanh Nguyen,"Associate Professor (instructional), Texas A&M University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=8597344877261034358,Verified email at tamu.edu,,4961,2529,32,26,52,42,Software EngineeringData ScienceArtificial Intelligence,https://scholar.google.com/citations?hl=en&user=bpqJ-N0AAAAJ
"Manh Cuong ""MC"" Nguyen",Sr. Applied Scientist at Amazon,https://scholar.google.com/citations?view_op=view_org&hl=en&org=11215970455707674271,Verified email at amazon.com - Homepage,https://nmcuong81.github.io/homepage/,2380,1642,23,17,41,28,Machine LearningData ScienceAIComputational PhysicsMaterials Science,https://scholar.google.com/citations?hl=en&user=LjoSNYkAAAAJ
Marcus Nguyen,University of Chicago,https://scholar.google.com/citations?view_op=view_org&hl=en&org=16671384941190438141,Verified email at uchicago.edu,,2285,2255,15,14,17,17,Machine learningbioinformaticsdata sciencedata modeling,https://scholar.google.com/citations?hl=en&user=uLd4lF4AAAAJ
Binh P. Nguyen,Victoria University of Wellington | Ho Chi Minh City Open University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=14858433847738150484,Verified email at vuw.ac.nz - Homepage,http://homepages.ecs.vuw.ac.nz/~nguyenb5,2003,1719,26,24,54,47,Neural networksData scienceHealth informaticsBioinformaticsIn silico Drug discovery,https://scholar.google.com/citations?hl=en&user=dMkk-asAAAAJ
Ngoc Duy Nguyen,Deakin University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10412436667236230217,Verified email at deakin.edu.au - Homepage,http://www.fruitlab.org/,1803,1747,12,11,14,13,Deep LearningReinforcement LearningData ScienceWireless Sensor NetworksMachine Learning,https://scholar.google.com/citations?hl=en&user=At-Y-H8AAAAJ
Dang Hai Nguyen,University of Alabama,,Verified email at wayne.edu - Homepage,http://hnguyen.people.ua.edu/,1600,1375,24,22,40,38,Stochastic processesstochastic approximationmathematical biologycontroldata science,https://scholar.google.com/citations?hl=en&user=QhGEzRoAAAAJ
Nguyen Lu Dang Khoa,"Lead Data Scientist, Acceleration",,No verified email - Homepage,https://www.linkedin.com/in/ludangkhoa/,1179,905,19,16,28,25,Applied ML/AIdata science,https://scholar.google.com/citations?hl=en&user=qqjsB2QAAAAJ
Linh Viet Nguyen,Mathematician and Data Scientist,,No verified email,,1070,523,16,13,23,14,Computational ImagingMachine LearningData Science,https://scholar.google.com/citations?hl=en&user=WhQMffIAAAAJ
Vang Le-Quy,"Data Scientist, Novodan, Denmark",,Verified email at hst.aau.dk,,1154,875,12,11,14,12,BioinformaticsData ScienceBig dataNGSTheoretical Physics,https://scholar.google.com/citations?hl=en&user=mOpHIu4AAAAJ
Kim Phuc TRAN,"Senior Associate Professor (Maître de Conférences HDR, equivalent to a UK Reader)",,Verified email at univ-lille.fr - Homepage,https://sites.google.com/view/kim-phuc-tran,2805,2660,32,32,57,57,Industrial AIHuman-Centered Edge AIData ScienceDecision Support SystemsStatistical Computing,https://scholar.google.com/citations?hl=en&user=uGv7zzQAAAAJ
Nam Sy Vo,Vingroup Big Data Institute & GeneStory,,Verified email at vinbigdata.org - Homepage,https://vingen.vinbigdata.org/en/teams/vo-sy-nam/,5141,4972,8,7,6,5,BioinformaticsData ScienceMachine Learning,https://scholar.google.com/citations?hl=en&user=6SD9cXgAAAAJ
Andy H Vo,AbbVie,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12853406975335582193,Verified email at abbvie.com,,1073,836,17,16,20,20,Data ScienceToxicologyBioinformatics,https://scholar.google.com/citations?hl=en&user=RWGz9qkAAAAJ
Teck-Hua Ho,"Distinguished University Professor, Nanyang Technological University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3012140508424117850,Verified email at ntu.edu.sg - Homepage,http://www.teckho.com/,23103,10014,57,37,85,61,Behavioral EconomicsData ScienceManagement ScienceMarketing,https://scholar.google.com/citations?hl=en&user=Wy7ZZTEAAAAJ
