Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
SonBinh Nguyen,"Professor of Chemistry, Northwestern University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=2800120650280650005,Verified email at northwestern.edu - Homepage,http://chemgroups.northwestern.edu/nguyengroup/,105278,32094,105,59,298,201,organicpolymerinorganicmaterialscatalysis,https://scholar.google.com/citations?hl=en&user=0MWnxp4AAAAJ
Ngoc A. Nguyen,University of Illinois at Urbana-Champaign; Oak Ridge National Laboratory; University of Delaware,https://scholar.google.com/citations?view_op=view_org&hl=en&org=7738578430254982085,Verified email at ornl.gov - Homepage,https://appliedresearch.illinois.edu/,4239,3224,27,23,36,35,MaterialsPolymers,https://scholar.google.com/citations?hl=en&user=oO5UpbsAAAAJ
Nguyen Anh Chien,Nanyang Technological University,,Verified email at sg.bosch.com,,2373,1407,23,16,31,20,materialspolymersceramics,https://scholar.google.com/citations?hl=en&user=-132_rwAAAAJ
Minh Tho Nguyen,"KU Leuven, Belgium",https://scholar.google.com/citations?view_op=view_org&hl=en&org=8645310392855763529,Verified email at kuleuven.be,,34843,14008,76,49,764,385,Chemistry,https://scholar.google.com/citations?hl=en&user=AKkrECMAAAAJ
Vicky Doan-Nguyen Trigg,The Aerospace Corporation,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6878756176784399299,Verified email at aero.org - Homepage,https://www.linkedin.com/in/vicky-doan-nguyen-trigg-ph-d-9b87457/,5237,2943,27,22,33,32,materials sciencechemistryenergy storage & conversionnanomaterialscatalysis,https://scholar.google.com/citations?hl=en&user=yNY79ooAAAAJ
H. Nguyen-Xuan,"CIRTech Institute, HUTECH University, Vietnam",,Verified email at hutech.edu.vn - Homepage,https://sites.google.com/site/nguyenxuanhungsite/,22024,14048,83,67,247,239,Computational EngineeringLarge-scale Data3D PrintingRenewable Energy,https://scholar.google.com/citations?hl=en&user=3iK9h-gAAAAJ
Le Yang,Lam Research,,Verified email at colostate.edu,,56034,51092,67,67,104,104,ALDThin Film DepositionPVDOptical CoatingsMaterials Science,https://scholar.google.com/citations?hl=en&user=sM1Hl_wAAAAJ
Huu Hao Ngo,"Distinguished Professor of Environmental Engineering, University of Technology, Sydney",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10906564628192137533,Verified email at uts.edu.au,,57235,43788,114,99,643,561,Advanced biological waste treatment processesmembrane technologiesalternative water resourcesresource recoveryenvironmen,https://scholar.google.com/citations?hl=en&user=i199h4oAAAAJ
"Prof Tuan Ngo, FTSE","University of Melbourne, Research Program Leader - Building 4.0 CRC",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10194437184893062620,Verified email at unimelb.edu.au - Homepage,http://www.findanexpert.unimelb.edu.au/display/person6717,29847,25761,80,74,268,239,Civil EngineeringStructural EngineeringPrefabricated Modular BuildingsExtreme Loadings,https://scholar.google.com/citations?hl=en&user=iAYdNsYAAAAJ
Minh Anh Phan Nguyen,"Postdoctoral Researcher, University of Technology Sydney",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10906564628192137533,Verified email at student.uts.edu.au - Homepage,https://www.uts.edu.au/about/faculty-science/quantum-materials-and-nanophotonics/our-team,9007,3494,35,25,55,42,NanophotonicsQuantum OpticsSolid-State PhysicsMaterials Science,https://scholar.google.com/citations?hl=en&user=OiYbdHUAAAAJ
Vu Trieu Minh,"Professor of Mechatronics, Tallinn University of Technology",https://scholar.google.com/citations?view_op=view_org&hl=en&org=1537485348982639066,Verified email at ttu.ee - Homepage,https://www.etis.ee/Portal/Persons/Display/d4ce30a4-bf5c-436e-bc28-f3d9ead85315,1399,857,25,18,46,29,Model Predictive ControlAdvanced Control TechniquesAutomotive EngineeringMicrocontrollersArtificial Intelligence,https://scholar.google.com/citations?hl=en&user=FNUEiAkAAAAJ
Trieu Phat Luu,University of Houston,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12223153883015729764,Verified email at central.uh.edu,,1342,1083,18,16,27,24,Brain Machine InterfaceMachine LearningNeuroscienceRehabilitation robotics,https://scholar.google.com/citations?hl=en&user=tHNc-NUAAAAJ
"Trieu Nguyen, PhD",Microfabrication Cleanroom Manager,,Verified email at honda-ri.com,,1186,1093,15,15,19,17,Micro-NanofluidicsSensorsPoint of care devicesLab on a Chip,https://scholar.google.com/citations?hl=en&user=SuHeFCAAAAAJ
Minh Tu PHAM,"Professor,  Mechanical Engineering Department, INSA Lyon, AMPERE, UMR CNRS 5005",https://scholar.google.com/citations?view_op=view_org&hl=en&org=5894927930181964761,Verified email at insa-lyon.fr - Homepage,https://cv.hal.science/minh-tu-pham,1859,787,24,16,53,23,ControlObserversIdentificationRobotics,https://scholar.google.com/citations?hl=en&user=3hNhP-0AAAAJ
Phạm Quang Cường,"Eureka Robotics, NTU Singapore",,Verified email at normalesup.org - Homepage,https://personal.ntu.edu.sg/cuong/,,,,,,,Robotics Control Theory 3D Printing,https://scholar.google.com/citations?hl=en&user=Cx9ayhIAAAAJ
Hieu Anh Doan,"Assistant Scientist, Argonne National Laboratory",https://scholar.google.com/citations?view_op=view_org&hl=en&org=5159551652619546637,Verified email at anl.gov - Homepage,http://hieuadoan.github.io/,1008,699,12,11,15,14,Heterogeneous CatalysisComputational ChemistryDensity Functional TheoryMaterials DiscoveryMachine Learning,https://scholar.google.com/citations?hl=en&user=nrsUdEoAAAAJ
"Nguyen Anh Khoa Doan, Ph.D.",Delft University of Technology,https://scholar.google.com/citations?view_op=view_org&hl=en&org=814705155794667179,Verified email at tudelft.nl - Homepage,https://www.tudelft.nl/staff/n.a.k.doan/,835,809,18,18,26,26,TurbulenceFluid DynamicsCombustionTurbulent Reacting FlowsMachine Learning,https://scholar.google.com/citations?hl=en&user=0d-oykQAAAAJ
Anh-Dzung Doan,Australian Institute for Machine Learning,,Verified email at adelaide.edu.au - Homepage,https://dzungdoan6.github.io/,490,399,10,10,10,10,Robotic VisionComputer VisionMachine LearningRobotics,https://scholar.google.com/citations?hl=en&user=Ch9rZ_kAAAAJ
The Nam Long Doan,"Trusscore Inc., University of Waterloo",https://scholar.google.com/citations?view_op=view_org&hl=en&org=12436753108180256887,Verified email at uwaterloo.ca - Homepage,https://trusscore.com/corporate/research-and-development-team.html,2417,1430,25,18,29,25,rechargeable batteriesconductive plasticsnanotechnologyCNT dispersion,https://scholar.google.com/citations?hl=en&user=F09RPIUAAAAJ
Tinh Quoc Bui,"Director of DTRICE-HCM, DTU; Associate Professor, Tokyo Institute of Technology",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4801346853009234900,Verified email at m.titech.ac.jp - Homepage,https://sites.google.com/site/tinhqbui/,13031,9848,68,57,218,212,computational mechanicsmaterial failurecompositessolid mechanics,https://scholar.google.com/citations?hl=en&user=arV1Pk8AAAAJ
Ngoc Bui,"The University of Oklahoma (OU), Berkeley Lab, Livermore Lab, UConn",,Verified email at lbl.gov - Homepage,https://www.thebuilab.com/,3358,1782,20,18,22,20,Energy-Water-Environment NexusSeparation ScienceNanomaterialsMembrane ScienceTransport Phenomena,https://scholar.google.com/citations?hl=en&user=-9ArTS8AAAAJ
Bui Van-Hai,"Assistant Professor, Electrical and Computer Engineering at University of Michigan-Dearborn",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4770128543809686866,Verified email at umich.edu - Homepage,http://buivanhaibk.wixsite.com/van-haibui,2839,2576,23,22,34,32,Electrical EngineeringMicrogridRenewable Energy SourcesReinforcement LearningEnergy Management System,https://scholar.google.com/citations?hl=en&user=OckjbHUAAAAJ
